"","SerWT1","SerWT2","SerWT3","SerWT4","SerKO1","SerKO2","SerKO3","SerKO4","ExoWT1","ExoWT2","ExoWT3","ExoWT4","ExoKO1","ExoKO2","ExoKO3","ExoKO4"
"mmu-let-7a",1.0316502602515,0.725299493372797,0.884095991800746,0.895338221777946,0.730920608361396,0.771673692028746,0.496239057587345,1.08926668888465,-0.308985664529607,-0.422813243048758,-0.133325821135857,0.201130520685844,-1.30251773876466,-1.52033594457291,-1.59200516067756,-1.54563096202161
"mmu-let-7b",-1.51709563343875,-1.71968819834031,1.09700197819428,1.12314295431061,0.858465571132769,0.945057554518112,0.897677035307264,0.86336700415458,0.497393338525957,0.067701043613777,0.128152050882791,0.467984740395085,-0.602161469367186,-1.1413191017665,-0.910951749741338,-1.05472711838115
"mmu-let-7c",1.08117389017651,0.833388019461548,0.936940323640933,0.929543730485263,0.676210414903553,0.746478049882421,0.469105806544782,0.659568080303295,-0.0874878284194132,-0.240967136399574,-0.139263980509107,0.13995741111745,-1.0213077143228,-2.07347309071691,-1.30607655081611,-1.60378942533184
"mmu-let-7d",1.23306361918082,0.699302542577792,0.862452154671549,0.932948900637987,0.735558011931961,0.626791603869455,-0.217155154985903,0.602621290966677,0.203811128070827,-0.0741474703111289,0.0849737562988311,0.344804620003703,-0.97247743319774,-2.17897888559478,-1.50422431705887,-1.37934436706118
"mmu-let-7e",-1.5490769254972,0.473473588526016,1.01269425877543,1.77327920417985,0.732677910716083,0.751597934233605,0.346709430958611,0.61537376490744,0.183997228707913,0.000473000587937606,0.187781233411417,0.392117487400667,-0.78281597303752,-1.56799694901473,-1.22176051864406,-1.34852467621146
"mmu-let-7f",1.02950093260653,0.660871375423353,0.81834419596762,0.92034363654743,0.560661398713364,0.616134778677821,0.140137389305375,0.496240699399799,0.542766760015152,0.0238222377669951,0.077506153861632,0.458661958133553,-1.33795976716696,-1.83185179523762,-1.18227641049251,-1.99290354352153
"mmu-let-7g",1.23566440696813,1.04328110009852,1.1129167755912,1.0775088050017,0.828472745188889,0.857979387346805,0.688021128517208,0.817850354012039,-0.867569046048128,-0.910058610755527,-0.91241914212816,-0.898255953892361,-0.833341341144945,-1.01628252252402,-1.10126165193882,-1.12250643429252
"mmu-let-7i",1.05247182791467,0.777009475135457,0.995083837752332,0.893698388465539,0.541718715469882,0.694753355902776,0.37911941000993,0.943434646606231,-0.0589422482292321,-0.141198367461914,-0.114417305386157,0.140002784333531,-1.19522445344348,-1.96613645462419,-1.38843068699001,-1.55294292545537
"mmu-miR-1",1.09249755621123,1.00572058641689,0.945536558978879,0.928741016438039,0.736991905763443,0.591430537076158,0.410878454762124,0.60962570816207,0.339497398963552,-0.336523188305278,-0.218954390519394,-0.0342034225701491,-1.54580225124579,-1.76274467573165,-1.4660234241768,-1.29666837022333
"mmu-miR-7a",-0.318568725037682,-0.713840989249542,-0.761656182500977,-0.321756404587779,-0.398260713790073,-0.433325188841127,-0.694714911948968,-0.525767895793899,1.68648171197247,0.59948298538986,2.3941465720937,1.52709773446769,-0.717028668799638,-0.726591707449924,-0.535330934444185,-0.0603666814799367
