"","GFP.1","GFP.2","GFP.3","CRE.1","CRE.2","CRE.3"
"mmu-miR-199a-5p",24.75,25.8,29.51,37.07,38.31,39.5
"mmu-miR-199b",26.24,28.11,29.39,30.67,31.96,40
"mmu-miR-19a",28.07,28.52,30.62,30.38,31.68,29.22
"mmu-miR-19b",40,40,40,40,40,28.69
"mmu-miR-200a",27.99,28.56,30.78,40,40,40
"mmu-miR-200b",25.11,25.3,30.03,34.68,35.85,40
"mmu-miR-200c",25.05,26.03,27.19,31.96,33.17,39.07
"mmu-miR-201",28.55,29.54,30.34,37.47,38.76,37.83
"mmu-miR-202-3p",22.73,25.01,27.49,33.64,34.89,40
"mmu-miR-202-5p",31.16,38.58,35.82,40,40,40
"mmu-miR-203",25.95,26.7,29.21,34.36,35.61,40
"mmu-miR-204",25.44,27.19,29.51,37,38.32,40
"mmu-miR-205",26.41,27.71,30.31,36.09,37.28,40
"mmu-miR-206",26.29,28.27,29.67,31.32,32.58,31.65
"mmu-miR-207",26.23,27.77,25.57,27.61,28.8,29.9
"mmu-miR-208a",25.04,25.4,29,31.03,32.17,35.41
"mmu-miR-208b",29.1,29.63,32.39,40,40,40
"mmu-miR-20a",32.3,31.81,33.39,33.37,34.72,40
"mmu-miR-20b",27.93,29.12,30.18,34.61,35.97,40
"mmu-miR-21",25.42,26.43,27.83,27.92,29.15,27.99
"mmu-miR-210",24.54,25.48,27.72,31.59,32.84,35
"mmu-miR-211",26.85,26.93,28.36,32.04,33.3,34.46
"mmu-miR-212",22.1,23.5,26.79,30.35,31.53,31.45
"mmu-miR-214",26.32,27.03,27.17,29.23,30.4,29.94
"mmu-miR-215",26.02,27.1,32.3,34.26,35.5,40
"mmu-miR-216a",27.89,28.39,29.17,32.5,33.74,35.31
"mmu-miR-216b",26.6,27.72,29.03,40,40,40
"mmu-miR-217",26.4,28.06,30.16,33.64,34.85,40.87
"mmu-miR-218",25.47,25.86,29.54,32.78,34.76,40
"mmu-miR-219",29.37,29.48,31.41,40,40,40.55
"mmu-miR-22",28.78,29.22,28.62,28.87,30.2,28.38
"mmu-miR-220",29.32,30.13,31.56,37.81,39.1,39.92
"mmu-miR-221",21.85,23.59,28.09,30.57,31.85,40
"mmu-miR-222",21.76,23.83,28.13,29.4,30.65,30.6
"mmu-miR-223",27.15,28.28,30.21,32.18,33.44,33.66
"mmu-miR-224",27.72,28.07,31.97,40,40,40
"mmu-miR-23a",23.9,25.03,23.96,24.47,25.68,24.52
"mmu-miR-23b",24.22,24.74,24.51,25.16,26.42,38.1
"mmu-miR-24",25.97,27.16,27.14,28.05,29.24,34.86
"mmu-miR-25",23.61,25.06,27.5,29.75,31,30.03
"mmu-miR-26a",26.52,28.57,29.18,33.61,34.87,33.34
"mmu-miR-26b",28.96,30.12,31.94,34.83,36.84,40
"mmu-miR-27a",25.31,26.39,27.32,28.4,29.61,30.14
"mmu-miR-27b",23.52,24.68,27.25,29.27,30.57,40
"mmu-miR-28",24.23,26.05,29.03,34.49,35.72,38.04
"mmu-miR-290-3p",26.02,26.33,29.23,36.99,38.21,40
"mmu-miR-290-5p",40,40,40,40,40,40
"mmu-miR-291a-3p",29.75,28.21,31.03,33.19,34.56,40
"mmu-miR-291a-5p",25.7,26.76,27.92,31.07,32.23,34.25
"mmu-miR-291b-3p",26.68,27.41,28.46,35.28,36.54,37.91
"mmu-miR-291b-5p",27.23,29.2,33.03,40.88,40,40
"mmu-miR-292-3p",27.8,29.19,30.81,33.73,34.95,36.55
"mmu-miR-292-5p",31.86,31.82,35.28,40,40,40
"mmu-miR-293",21.9,22.1,24.27,30.46,31.69,38.39
"mmu-miR-294",22.02,22.12,25.02,29.82,31.01,35.42
"mmu-miR-295",26.84,24.91,30.53,37.88,39.1,40
"mmu-miR-296-3p",26.75,27.45,28.87,30.45,31.8,31.23
"mmu-miR-296-5p",25.87,24.32,27.06,31.32,32.56,32.4
"mmu-miR-297a",26.97,26.46,27.05,27.35,28.57,40
"mmu-miR-297b-3p",25.74,26.39,30.56,39.45,40.89,40
"mmu-miR-297b-5p",27.85,27.73,30.15,32.54,33.86,38.89
"mmu-miR-297c",23.98,23,25.18,29.19,30.45,39.12
"mmu-miR-298",25.63,26.6,27.52,32,33.16,33.16
"mmu-miR-299",28.12,29.05,32.09,35.09,36.33,40
"mmu-miR-29a",27.14,27.92,30.75,31.8,33.06,32.15
"mmu-miR-29b",27.52,28.38,30.2,36.79,38.05,40
